Program,Branch,Specialization,Semester,Count
"PH.D. COURSE-WORK",SANSKRIT,NONE,SM2,3
"PH.D. COURSE-WORK",THEOLOGY,NONE,SM2,2
"PH.D. COURSE-WORK",ELECTRICAL,NONE,SM2,3
"PH.D. COURSE-WORK",CIVIL,NONE,SM2,1
"B.SC. HONOURS IN APPLIED BOTANY SCIENCE",NONE,NONE,SM3,20
"B.SC. HONOURS IN APPLIED BOTANY SCIENCE",NONE,NONE,SM5,21
"B.SC. (HONS.) AGRICULTURE",NONE,NONE,SM3,55
"B.SC. (HONS.) AGRICULTURE",NONE,NONE,SM5,45
"B.SC. (HONS.) AGRICULTURE",NONE,NONE,SM7,52
"B.B.A. (LOGISTICS)",NONE,NONE,SM3,43
"B.B.A. (RETAIL)",NONE,NONE,SM3,38
"B.COM. HONOURS (CORPORATE ACCOUNTING & LAW)",NONE,NONE,SM5,53
B.COM.(TRANSDISCIPLINARY),NONE,NONE,SM3,16
"M.COM. (CORPORATE ACCOUNTING AND LAW)",NONE,NONE,SM4,1
"B.A. SOCIAL SCIENCES (TRANSDISCIPLINARY)",NONE,NONE,SM3,4
"B.B.A. (LOGISTICS) HONOURS",NONE,NONE,SM5,53
"B.B.A. (RETAIL) HONOURS",NONE,NONE,SM5,49
"B.A. SOCIAL SCIENCES HONOURS               (TRANSDISCIPLINARY)",NONE,"HUMAN SERVICE MANAGEMENT",SM5,7
"B.COM. HONOURS (TRANSDISCIPLINARY)",NONE,ACCOUNTANCY,SM5,42
"M. VOC.","RENEWABLE ENERGY",NONE,SM3,5
"B.SC.(SUSTAINABLE COMMUNITY SCIENCE)",NONE,NONE,SM3,4
